1,Jamie Whitten,D,MS-1,11/4/1941
2,Jack Brooks,D,TX-09,1/3/1953
3,William Natcher,D,KY-2,8/1/1953
4,John Dingell,D,MI-16,12/13/1955
5,Robert Michel,R,IL-18,1/3/1957
6,Dan Rostenkowski,D,IL-05,1/3/1959
6,Neal Smith,D,IA-4,
8,Henry Gonzalez,D,TX-20,11/4/1961
9,Don Edwards,D,CA-16,1/3/1963
9,Sam Gibbons,D,FL-11,
9,Joseph McDade,R,PA-10,
9,Jimmy Quillen,R,TN-1,
13,Sidney Yates,D,IL-09,1/3/1965
13,John Conyers,D,MI-14,
13,Kika De la Garza,D,TX-15,
13,Tom Foley,D,WA-5,
13,William Ford,D,MI-13,
13,Lee Hamilton,D,IN-09,
19,Tom Bevill,D,AL-4,1/3/1967
19,Sonny Montgomery,D,MS-3,
19,John Myers,R,IN-07,
22,Bill Clay,D,MO-1,1/3/1969
22,Hamilton Fish,R,NY-19,
22,Louis Stokes,D,OH-11,
25,Dave Obey,D,WI-7,4/1/1969
26,Phil Crane,R,IL-08,11/25/1969
27,Bill Archer,R,TX-07,1/3/1971
27,Les Aspin,D,WI-1,
27,Ron Dellums,D,CA-09,
27,Romano Mazzoli,D,KY-3,
27,Charles Rangel,D,NY-15,
27,Floyd Spence,R,SC-2,
27,C. Young,R,FL-10,
34,George Brown,D,CA-42,1/3/1973
34,Benjamin A. Gilman,R,NY-20,
34,Ralph Regula,R,OH-16,
34,Charlie Rose,D,NC-07,
34,Bud Shuster,R,PA-09,
34,Joe Moakley,D,MA-09,
34,Carlos Moorhead,R,CA-27,
34,Pat Schroeder,D,CO-1,
34,Fortney Stark,D,CA-13,
34,Gerry Studds,D,MA-10,
34,Charlie Wilson,D,TX-02,
45,Donald Young,R,AK,3/6/1973
46,Cardiss Collins,D,IL-07,6/5/1973
47,John Murtha,D,PA-12,2/5/1974
48,"Andrew Jacobs, Jr.",D,IN-10,1/3/1975
48,Butler Derrick,D,SC-3,
48,Glenn English,D,OK-6,
48,Harold Ford,D,TN-9,
48,Bill Goodling,R,PA-19,
48,Bill Gradison,R,OH-02,
48,Bill Hefner,D,NC-08,
48,William Hughes,D,NJ-02,
48,Henry Hyde,R,IL-06,
48,John LaFalce,D,NY-29,
48,Marilyn Lloyd,D,TN-3,
48,George Miller,D,CA-07,
48,Norman Mineta,D,CA-15,
48,Stephen Neal,D,NC-05,
48,James Oberstar,D,MN-8,
48,Philip Sharp,D,IN-02,
48,Henry Waxman,D,CA-29,
65,Edward Markey,D,MA-07,11/2/1976
66,Douglas Applegate,D,OH-18,1/4/1977
66,Anthony Beilenson,D,CA-24,
66,David Bonior,D,MI-10,
66,Norman Dicks,D,WA-6,
66,Dick Gephardt,D,MO-3,
66,Dan Glickman,D,KS-4,
66,Dale Kildee,D,MI-09,
66,Jim Leach,R,IA-1,
66,Austin Murphy,D,PA-20,
66,Leon Panetta,D,CA-17,
66,Nick Rahall,D,WV-3,
66,Ike Skelton,D,MO-4,
66,Bob Stump,R,AZ-3,
66,Bruce Vento,D,MN-4,
66,Harold Volkmer,D,MO-9,
66,Robert Walker,R,PA-16,
82,Bob Livingston,R,LA-1,8/27/1977
83,Doug Bereuter,R,NE-1,1/3/1979
83,Bill Clinger,R,PA-05,
83,Julian C. Dixon,D,CA-32,
83,Vic Fazio,D,CA-03,
83,Martin Frost,D,TX-24,
83,Newt Gingrich,R,GA-06,
83,Tony Hall,D,OH-03,
83,Earl Hutto,D,FL-01,
83,Jerry Lewis,R,CA-40,
83,Bob Matsui,D,CA-05,
83,Toby Roth,R,WI-8,
83,Martin Olav Sabo,D,MN-5,
83,F. Sensenbrenner,R,WI-9,
83,Olympia Snowe,R,ME-2,
83,Gerald Solomon,R,NY-22,
