1,John Dingell,D,MI-16,12/13/1955
2,Henry Gonzalez,D,TX-20,11/4/1961
3,Sam Gibbons,D,FL-11,1/3/1963
3,Joseph McDade,R,PA-10,
3,Jimmy Quillen,R,TN-1,
6,Sidney Yates,D,IL-09,1/3/1965
6,John Conyers,D,MI-14,
6,Kika De la Garza,D,TX-15,
6,Lee Hamilton,D,IN-09,
10,Tom Bevill,D,AL-4,1/3/1967
10,Sonny Montgomery,D,MS-3,
10,John Myers,R,IN-07,
13,Bill Clay,D,MO-1,1/3/1969
13,Louis Stokes,D,OH-11,
15,Dave Obey,D,WI-7,4/1/1969
16,Phil Crane,R,IL-08,11/25/1969
17,Bill Archer,R,TX-07,1/3/1971
17,Ron Dellums,D,CA-09,
17,Charles B. Rangel,D,NY-15,
17,Floyd Spence,D,SC-2,
17,Bill Young,R,FL-10,
22,George Brown,D,CA-42,1/3/1973
22,Benjamin A. Gilman,R,NY-20,
22,Ralph Regula,R,OH-16,
22,Charlie Rose,D,NC-07,
22,Bud Shuster,R,PA-09,
22,Joe Moakley,D,MA-09,
22,Carlos Moorhead,R,CA-27,
22,Pat Schroeder,D,CO-1,
22,Pete Stark,D,CA-13,
22,Gerry Studds,D,MA-10,
22,Charlie Wilson,D,TX-02,
33,Don Young,R,AK,3/6/1973
34,Cardiss Collins,D,IL-07,6/5/1973
35,John Murtha,D,PA-12,2/5/1974
36,"Andrew Jacobs, Jr.",D,IN-10,1/3/1975
36,Harold Ford,D,TN-9,
36,Bill Goodling,R,PA-19,
36,Bill Hefner,D,NC-08,
36,Henry Hyde,R,IL-06,
36,John LaFalce,D,NY-29,
36,George Miller,D,CA-07,
36,James Oberstar,D,MN-8,
36,Henry Waxman,D,CA-29,
45,Ed Markey,D,MA-07,11/2/1976
46,Anthony Beilenson,D,CA-24,1/4/1977
46,David Bonior,D,MI-10,
46,Norm Dicks,D,WA-6,
46,Dick Gephardt,D,MO-3,
46,Dale Kildee,D,MI-09,
46,Jim Leach,R,IA-1,
46,Nick Rahall,D,WV-3,
46,Ike Skelton,D,MO-4,
46,Bob Stump,R,AZ-3,
46,Bruce Vento,D,MN-4,
46,Harold Volkmer,R,MO-9,
46,Robert Walker,R,PA-16,
58,Bob Livingston,R,LA-1,8/27/1977
59,Doug Bereuter,R,NE-1,1/3/1979
59,Bill Clinger,R,PA-05,
59,Julian C. Dixon,D,CA-32,
59,Vic Fazio,D,CA-03,
59,Martin Frost,D,TX-24,
59,Newt Gingrich,R,GA-06,
59,Tony Hall,D,OH-03,
59,Jerry Lewis,R,CA-40,
59,Bob Matsui,D,CA-05,
59,Toby Roth,R,WI-8,
59,Martin Olav Sabo,D,MN-5,
59,James Sensenbrenner,R,WI-9,
59,Gerald Solomon,R,NY-22,
59,Charles Stenholm,D,TX-17,
59,Bill Thomas,R,CA-21,
59,Pat Williams,D,MT,
75,Tom Petri,R,WI-6,4/3/1979
76,John Porter,R,IL-10,1/22/1980
77,Billy Tauzin,D,LA-3,5/22/1980
78,Thomas Bliley,R,VA-07,1/3/1981
78,William Coyne,D,PA-14,
78,David Dreier,R,CA-26,
78,Bill Emerson,R,MO-8,
78,Jack Fields,R,TX-08,
78,Tom Foglietta,D,PA-01,
78,Barney Frank,D,MA-04,
78,Sam Gejdenson,D,CT-2,
78,Steve Gunderson,R,WI-3,
78,Ralph Hall,D,TX-04,
78,James Hansen,R,UT-1,
78,Duncan Hunter,R,CA-52,
78,Tom Lantos,D,CA-12,
78,Bill McCollum,R,FL-08,
78,Sid Morrison,R,WA-1,
78,Pat Roberts,R,KS-1,
78,Hal Rogers,R,KY-5,
78,Marge Roukema,R,NJ-05,
78,Chuck Schumer,D,NY-09,
78,"E. Clay Shaw, Jr.",R,FL-22,
78,Joe Skeen,R,NM-2,
78,Christopher Smith,R,NJ-04,
78,Frank Wolf,R,VA-10,
78,Ron Wyden,D,OR-3,
102,Steny Hoyer,D,MD-5,5/19/1981
103,Mike Oxley,R,OH-04,6/25/1981
104,Barbara Kennelly,D,CT-1,1/12/1982
105,Matt Martinez,D,CA-31,7/13/1982
106,Herbert Bateman,D,VA-01,1/3/1983
106,Howard Berman,D,CA-28,
106,Michael Bilirakis,R,FL-09,
106,Sherwood Boehlert,D,NY-23,
106,Robert Borski,D,PA-03,
106,Rick Boucher,D,VA-09,
106,John Bryant,D,TX-32,
106,Dan Burton,R,IN-06,
106,Ron Coleman,D,TX-16,
106,Richard Durbin,D,IL-20,
106,Lane Evans,D,IL-17,
106,George Gekas,R,PA-17,
106,Nancy Johnson,R,CT-6,
106,Marcy Kaptur,D,OH-09,
106,John Kasich,R,OH-12,
106,Sander Levin,D,MI-12,
106,Bill Lipinski,D,IL-03,
106,Alan Mollohan,D,WV-1,
106,Solomon Ortiz,D,TX-27,
106,Major Owens,D,NY-11,
106,Ron Packard,R,CA-48,
106,Bill Richardson,D,NM-3,
106,Norman Sisisky,D,VA-04,
106,John Spratt,D,SC-5,
106,Esteban Torres,D,CA-34,
106,Robert Torricelli,D,NJ-09,
106,Ed Towns,D,NY-10,
106,Barbara Vucanovich,R,NV-2,
106,Bob Wise,D,WV-2,
135,Gary Ackerman,D,NY-05,3/1/1983
136,Daniel Schaefer,R,CO-6,3/29/1983
137,Jerry Kleczka,D,WI-4,4/3/1984
138,Jim Saxton,R,NJ-03,11/6/1984
139,Bob Dornan,R,CA-46,1/3/1985
139,Dick Armey,R,TX-26,
139,Joe Barton,R,TX-06,
139,Sonny Callahan,R,AL-1,
139,Howard Coble,R,NC-06,
139,Larry Combest,R,TX-19,
139,Tom DeLay,R,TX-22,
139,Harris Fawell,R,IL-13,
139,Bart Gordon,D,TN-6,
139,Paul Kanjorski,D,PA-11,
139,Jim Kolbe,R,AZ-5,
139,Jim Lightfoot,R,IA-3,
139,Thomas Manton,D,NY-07,
139,Jan Meyers,R,KS-3,
139,James Traficant,D,OH-17,
139,Peter Visclosky,D,IN-01,
155,Jim Chapman,D,TX-01,8/3/1985
156,Cass Ballenger,R,NC-10,11/4/1986
157,Richard Baker,R,LA-6,1/3/1987
157,Jim Bunning,R,KY-4,
157,Ben Cardin,D,MD-3,
157,Peter DeFazio,D,OR-4,
157,Floyd Flake,D,NY-06,
157,Elton Gallegly,R,CA-23,
157,Dennis Hastert,R,IL-14,
157,Jimmy Hayes,D,LA-7,
157,Joel Hefley,R,CO-5,
157,Wally Herger,R,CA-02,
157,Amo Houghton,R,NY-31,
157,Tim Johnson,D,SD,
157,Joseph Kennedy II,D,MA-08,
157,John Lewis,D,GA-05,
157,Kweisi Mfume,D,MD-7,
157,Connie Morella,R,MD-8,
157,Owen Pickett,D,VA-02,
157,Thomas Sawyer,D,OH-14,
157,David Skaggs,D,CO-2,
157,Louise Slaughter,D,NY-28,
157,Lamar Smith,R,TX-21,
157,Fred Upton,R,MI-06,
157,Curt Weldon,R,PA-07,
180,Nancy Pelosi,D,CA-08,6/2/1987
181,Christopher Shays,R,CT-4,8/18/1987
182,Bob Clement,D,TN-5,1/19/1988
183,Jim McCrery,R,LA-5,4/16/1988
184,Lewis Payne,D,VA-05,6/14/1988
185,Jerry Costello,D,IL-12,8/9/1988
186,John Duncan,R,TN-2,11/8/1988
186,Frank Pallone,D,NJ-06,
188,Roy Blunt,R,MO-7,1/3/1989
189,Christopher Cox,R,CA-47,
189,Eliot Engel,D,NY-17,
189,Paul Gillmor,R,OH-05,
189,Porter Goss,R,FL-14,
189,Harry Johnston,D,FL-19,
189,Greg Laughlin,D,TX-14,
189,Nita Lowey,D,NY-18,
189,Jim McDermott,D,WA-7,
189,Mike McNulty,D,NY-21,
189,Richard Neal,D,MA-02,
189,Mike Parker,D,MS-4,
189,Bill Paxon,R,NY-27,
189,Donald Payne,D,NJ-10,
189,Glenn Poshard,D,IL-19,
189,Dana Rohrabacher,R,CA-45,
189,Steven Schiff,R,NM-1,
189,Cliff Stearns,R,FL-06,
189,John Tanner,D,TN-8,
189,James Walsh,R,NY-25,
208,Glen Browder,D,AL-3,4/4/1989
209,Ileana Ros-Lehtinen,R,FL-18,8/29/1989
210,Gary Condit,D,CA-18,9/12/1989
210,Pete Geren,D,TX-12,
212,Gene Taylor,D,MS-5,10/17/1989
213,Susan Molinari,R,NY-13,3/20/1990
213,José Serrano,D,NY-16,
215,Patsy Mink,D,HI-2,9/22/1990
216,Rob Andrews,D,NJ-01,11/6/1990
217,Neil Abercrombie,D,HI-1,1/3/1991
217,Wayne Allard,R,CO-4,
217,Bill Barrett,R,NE-3,
217,John Boehner,R,OH-08,
217,Bill Brewster,D,OK-3,
217,Barbara-Rose Collins,D,MI-15,
217,Dave Camp,R,MI-04,
217,Bud Cramer,D,AL-5,
217,Duke Cunningham,R,CA-50,
217,Rosa DeLauro,D,CT-3,
217,John T. Doolittle,R,CA-04,
217,Cal Dooley,D,CA-20,
217,Chet Edwards,D,TX-11,
217,Thomas Ewing,R,IL-15,
217,Gary Franks,R,CT-5,
217,Wayne Gilchrest,R,MD-1,
217,David Hobson,R,OH-07,
217,William Jefferson,D,LA-2,
217,Scott Klug,R,WI-2,
217,Jim Moran,D,VA-08,
217,Jim Nussle,R,IA-2,
217,Bill Orton,D,UT-3,
217,Collin Peterson,D,MN-7,
217,Pete Peterson,D,FL-02,
217,Jim Ramstad,R,MN-3,
217,Jack Reed,D,RI-2,
217,Timothy Roemer,D,IN-03,
217,Bernie Sanders,I,VT,
217,Charles H. Taylor,R,NC-11,
217,Ray Thornton,D,AR-2,
217,Maxine Waters,D,CA-35,
217,Bill Zeliff,R,NH-1,
217,Dick Zimmer,R,NJ-12,
250,Sam Johnson,R,TX-03,5/18/1991
251,John Olver,D,MA-01,6/4/1991
252,Ed Pastor,D,AZ-2,9/24/1991
253,Eva Clayton,D,NC-01,11/3/1992
253,Jerrold Nadler,D,NY-08,
255,Spencer Bachus,R,AL-6,1/3/1993
255,Bill Baker,R,CA-10,
255,James Barcia,D,MI-05,
255,Tom Barrett,D,WI-5,
255,Roscoe Bartlett,R,MD-6,
255,Xavier Becerra,D,CA-30,
255,Scotty Baesler,D,KY-6,
255,Sanford Bishop,D,GA-02,
255,Peter Blute,R,MA-03,
255,Henry Bonilla,R,TX-23,
255,Corrine Brown,D,FL-03,
255,Sherrod Brown,D,OH-13,
255,Steve Buyer,R,IN-05,
255,Charles Canady,R,FL-12,
255,Ken Calvert,R,CA-43,
255,Michael N. Castle,R,DE,
255,James Clyburn,D,SC-6,
255,Mac Collins,R,GA-03,
255,Mike Crapo,R,ID-2,
255,Pat Danner,D,MO-6,
255,Nathan Deal,R,GA-09,
255,Peter Deutsch,D,FL-20,
255,Lincoln Diaz-Balart,R,FL-21,
255,Jay Dickey,D,AR-4,
255,Jennifer Dunn,R,WA-8,
255,Anna Eshoo,D,CA-14,
255,Terry Everett,R,AL-2,
255,Cleo Fields,D,LA-4,
255,Bob Filner,D,CA-51,
255,Tillie Fowler,R,FL-04,
255,Bob Franks,R,NJ-07,
255,Elizabeth Furse,D,OR-1,
255,Bob Goodlatte,R,VA-06,
255,Gene Green,D,TX-29,
255,James Greenwood,R,PA-08,
255,Luis Gutierrez,D,IL-04,
255,Jane Harman,D,CA-36,
255,Alcee Hastings,D,FL-23,
255,Earl Hilliard,D,AL-7,
255,Maurice Hinchey,D,NY-26,
255,Pete Hoekstra,R,MI-02,
255,Martin Hoke,R,OH-10,
255,Tim Holden,D,PA-06,
255,Steve Horn,R,CA-38,
255,Bob Inglis,R,SC-4,
