116,Ken Calvert,R,CA-44,,
116,Michael N. Castle,R,DE,,
116,James Clyburn,D,SC-6,,
116,Nathan Deal,R,GA-10,,
116,Lincoln Diaz-Balart,R,FL-21,,
116,Anna Eshoo,D,CA-14,,
116,Terry Everett,R,AL-2,,
116,Bob Filner,D,CA-51,,
116,Bob Goodlatte,R,VA-06,,
116,Gene Green,D,TX-29,,
116,Luis Gutierrez,D,IL-04,,
116,Alcee Hastings,D,FL-23,,
116,Maurice Hinchey,D,NY-22,,
116,Pete Hoekstra,R,MI-02,,
116,Tim Holden,D,PA-17,,
116,Ernest Istook,R,OK-5,,Left the House in 2007.
116,Eddie Bernice Johnson,D,TX-30,,
116,Peter King,R,NY-03,,
116,Jack Kingston,R,GA-01,,
116,Joe Knollenberg,R,MI-09,,
116,John Linder,R,GA-07,,
116,Carolyn Maloney,D,NY-14,,
116,Donald Manzullo,R,IL-16,,
116,John McHugh,R,NY-23,,
116,Buck McKeon,R,CA-25,,
116,Marty Meehan,D,MA-05,,
116,Bob Menendez,D,NJ-13,,Elected Senator
116,John Mica,R,FL-07,,
116,Richard Pombo,R,CA-11,,Left the House in 2007.
116,Earl Pomeroy,D,ND,,
116,Deborah Pryce,R,OH-15,,
116,Lucille Roybal-Allard,D,CA-34,,
116,Ed Royce,R,CA-40,,
116,Bobby Rush,D,IL-01,,
116,Bobby Scott,D,VA-03,,
116,Bart Stupak,D,MI-01,,
116,Nydia Velázquez,D,NY-12,,
116,Melvin Watt,D,NC-12,,
116,Lynn Woolsey,D,CA-06,,
116,Albert Wynn,D,MD-4,,
164,Bennie Thompson,D,MS-2,4/13/1993,
165,Sam Farr,D,CA-17,6/8/1993,
166,Vernon Ehlers,R,MI-03,12/7/1993,
167,Rob Portman,R,OH-02,5/4/1993,Stepped down.
168,Frank Lucas,R,OK-3,5/10/1994,
169,Ron Lewis,R,KY-2,5/24/1994,
170,Charles Foster Bass,R,NH-2,1/3/1995,Left the House in 2007.
170,Steve Chabot,R,OH-01,,
170,Barbara Cubin,R,WY,,
170,Thomas M. Davis,R,VA-11,,
170,Lloyd Doggett,D,TX-25,,
170,Mike Doyle,D,PA-14,,
170,Phil English,R,PA-03,,
170,Chaka Fattah,D,PA-02,,
170,Mark Foley,R,FL-16,,Stepped down.
170,Rodney Frelinghuysen,R,NJ-11,,
170,Gil Gutknecht,R,MN-1,,Left the House in 2007.
170,Doc Hastings,R,WA-4,,
170,J. D. Hayworth,R,AZ-5,,Left the House in 2007.
170,John Hostettler,R,IN-8,,Left the House in 2007.
170,Sheila Jackson-Lee,D,TX-18,,
170,Walter B. Jones,R,NC-03,,
170,Sue W. Kelly,R,NY-19,,Left the House in 2007.
170,Patrick Kennedy,D,RI-1,,
170,Ray LaHood,R,IL-18,,
170,Tom Latham,R,IA-4,,
170,Steven LaTourette,R,OH-14,,
170,Frank LoBiondo,R,NJ-02,,
170,Zoe Lofgren,D,CA-16,,
170,Sue Myrick,R,NC-09,,
170,Bob Ney,R,OH-18,,"Stepped down on November 3, 2006."
170,Charlie Norwood,R,GA-09,,
170,George Radanovich,R,CA-19,,
170,John Shadegg,R,AZ-3,,
170,Mark Souder,R,IN-3,,
170,Mac Thornberry,R,TX-13,,
170,Todd Tiahrt,R,KS-4,,
170,Zach Wamp,R,TN-3,,
170,Dave Weldon,R,FL-15,,
170,Jerry Weller,R,IL-11,,
170,Ed Whitfield,R,KY-1,,
170,Roger Wicker,R,MS-1,,
206,"Jesse Jackson, Jr.",D,IL-02,12/12/1995,
207,Juanita Millender-McDonald,D,CA-37,3/26/1996,
208,Elijah Cummings,D,MD-7,4/16/1996,
209,Earl Blumenauer,D,OR-3,5/21/1996,
210,Jo Ann Emerson,R,MO-8,11/5/1996,
211,Jim Ryun,R,KS-2,11/27/1996,Left the House in 2007.
212,David Price,D,NC-04,1/3/1997,Also served from 1987 to 1995.
212,Ron Paul,R,TX-14,,Also served from 1976 to 1977 and from 1979 to 1985.
212,Ted Strickland,D,OH-06,1/3/1997,Also served from 1993 to 1995. Retired in 2007.
212,Robert Aderholt,R,AL-4,1/3/1997,
212,Tom Allen,D,ME-1,1/3/1997,
212,Marion Berry,D,AR-1,1/3/1997,
212,Roy Blunt,R,MO-7,1/3/1997,
212,Leonard Boswell,D,IA-3,1/3/1997,
212,Allen Boyd,D,FL-02,1/3/1997,
212,Kevin Brady,R,TX-08,1/3/1997,
212,Chris Cannon,R,UT-3,1/3/1997,
212,Julia Carson,D,IN-7,1/3/1997,
212,Danny Davis,D,IL-07,1/3/1997,
212,Jim Davis,D,FL-11,1/3/1997,Left the House in 2007.
212,Diana DeGette,D,CO-1,1/3/1997,
212,Bill Delahunt,D,MA-10,1/3/1997,
212,Bob Etheridge,D,NC-02,1/3/1997,
212,"Harold Ford, Jr.",D,TN-9,1/3/1997,Left the House in 2007.
212,Jim Gibbons,R,NV-2,1/3/1997,Left the House in 2007.
212,Virgil Goode,R,VA-05,1/3/1997,
212,Kay Granger,R,TX-12,1/3/1997,
212,Rubén Hinojosa,D,TX-15,1/3/1997,
212,Darlene Hooley,D,OR-5,1/3/1997,
212,Kenny Hulshof,R,MO-9,1/3/1997,
212,William L. Jenkins,R,TN-1,1/3/1997,Left the House in 2007.
212,Carolyn Cheeks Kilpatrick,D,MI-13,1/3/1997,
212,Ron Kind,D,WI-3,1/3/1997,
212,Dennis Kucinich,D,OH-10,1/3/1997,
212,Carolyn McCarthy,D,NY-04,1/3/1997,
212,Jim McGovern,D,MA-03,1/3/1997,
212,Mike McIntyre,D,NC-07,1/3/1997,
212,Jerry Moran,R,KS-1,1/3/1997,
212,Anne Northup,R,KY-3,1/3/1997,Left the House in 2007.
212,Bill Pascrell,D,NJ-08,1/3/1997,
212,John Peterson,R,PA-05,1/3/1997,
212,Chip Pickering,R,MS-3,1/3/1997,
212,Joe Pitts,R,PA-16,1/3/1997,
212,Silvestre Reyes,D,TX-16,1/3/1997,
212,Steven Rothman,D,NJ-09,1/3/1997,
212,Loretta Sanchez,D,CA-47,1/3/1997,
212,Pete Sessions,R,TX-32,1/3/1997,
212,Brad Sherman,D,CA-27,1/3/1997,
212,John Shimkus,R,IL-19,1/3/1997,
212,Adam Smith,D,WA-9,1/3/1997,
212,Vic Snyder,D,AR-2,1/3/1997,
212,Ellen Tauscher,D,CA-10,1/3/1997,
212,John Tierney,D,MA-06,1/3/1997,
212,Robert Wexler,D,FL-19,1/3/1997,
260,Vito Fossella,R,NY-13,11/4/1997,
261,Gregory Meeks,D,NY-06,2/3/1998,
262,Lois Capps,D,CA-23,3/10/1998,
263,Mary Bono,R,CA-45,4/7/1998,
264,Barbara Lee,D,CA-09,4/7/1998,
265,Robert Brady,D,PA-01,5/19/1998,
266,Heather Wilson,R,NM-1,6/23/1998,
267,Jay Inslee,D,WA-1,1/3/1999,Also served from 1993 to 1995.
267,Brian Baird,D,WA-3,1/3/1999,
267,Tammy Baldwin,D,WI-2,1/3/1999,
267,Shelley Berkley,D,NV-1,1/3/1999,
267,Judy Biggert,R,IL-13,1/3/1999,
267,Mike Capuano,D,MA-08,1/3/1999,
267,Joe Crowley,D,NY-07,1/3/1999,
267,Charlie Gonzalez,D,TX-20,1/3/1999,
267,Mark Green,R,WI-8,1/3/1999,Left the House in 2007.
267,Robin Hayes,R,NC-08,1/3/1999,
267,Rush D. Holt,D,NJ-12,1/3/1999,
267,Stephanie Tubbs Jones,D,OH-11,1/3/1999,
267,John Larson,D,CT-1,1/3/1999,
267,Gary Miller,R,CA-42,1/3/1999,
267,Dennis Moore,D,KS-3,1/3/1999,
267,Grace Napolitano,D,CA-38,1/3/1999,
267,Tom Reynolds,R,NY-26,1/3/1999,
267,Paul Ryan,R,WI-1,1/3/1999,
267,Jan Schakowsky,D,IL-09,1/3/1999,
267,Don Sherwood,R,PA-10,1/3/1999,Left the House in 2007.
267,Mike Simpson,R,ID-2,1/3/1999,
267,John E. Sweeney,R,NY-20,1/3/1999,Left the House in 2007.
267,Tom Tancredo,R,CO-6,1/3/1999,
267,Lee Terry,R,NE-2,1/3/1999,
267,Mike Thompson,D,CA-01,1/3/1999,
267,Mark Udall,D,CO-2,1/3/1999,
267,Tom Udall,D,NM-3,1/3/1999,
267,Greg Walden,R,OR-2,1/3/1999,
267,Anthony Weiner,D,NY-09,1/3/1999,
267,David Wu,D,OR-1,1/3/1999,
297,Joe Baca,D,CA-43,11/16/1999,
298,Jane Harman,D,CA-36,1/3/2001,Also served from 1993 to 1999.
298,Todd Akin,R,MO-2,1/3/2001,
298,Henry Brown,R,SC-1,1/3/2001,
298,Eric Cantor,R,VA-07,1/3/2001,
298,Shelley Moore Capito,R,WV-2,1/3/2001,
298,William Lacy Clay,D,MO-1,1/3/2001,
298,Ander Crenshaw,R,FL-04,1/3/2001,
298,John Culberson,R,TX-07,1/3/2001,
298,Jo Ann Davis,R,VA-01,1/3/2001,
298,Susan Davis,D,CA-53,1/3/2001,
298,Mike Ferguson,R,NJ-07,1/3/2001,
298,Jeff Flake,R,AZ-6,1/3/2001,
298,Sam Graves,R,MO-6,1/3/2001,
298,Melissa Hart,R,PA-04,1/3/2001,Left the House in 2007.
298,Mike Honda,D,CA-15,1/3/2001,
298,Steve Israel,D,NY-02,1/3/2001,
298,Darrell Issa,R,CA-49,1/3/2001,
298,Timothy Johnson,R,IL-15,1/3/2001,
298,Ric Keller,R,FL-08,1/3/2001,
298,Mark Kennedy,R,MN-6,1/3/2001,Left the House in 2007.
298,Mark Kirk,R,IL-10,1/3/2001,
298,James Langevin,D,RI-2,1/3/2001,
298,Rick Larsen,D,WA-2,1/3/2001,
298,Jim Matheson,D,UT-2,1/3/2001,
298,Betty McCollum,D,MN-4,1/3/2001,
298,Tom Osborne,R,NE-3,1/3/2001,Left the House in 2007.
298,Mike Pence,R,IN-6,1/3/2001,
298,Todd Platts,R,PA-19,1/3/2001,
298,Butch Otter,R,ID-1,1/3/2001,"Left the House in 2007.
Stepped down on January 1, 2007 to become Governor of Idaho."
298,Adam Putnam,R,FL-12,1/3/2001,
298,Denny Rehberg,R,MT,1/3/2001,
298,Mike Rogers,R,MI-08,1/3/2001,
298,Mike Ross,D,AR-4,1/3/2001,
298,Adam Schiff,D,CA-29,1/3/2001,
298,Rob Simmons,R,CT-2,1/3/2001,Left the House in 2007.
298,Hilda Solis,D,CA-32,1/3/2001,
298,Patrick Tiberi,R,OH-12,1/3/2001,
335,Bill Shuster,R,PA-09,5/15/2001,
336,Diane Watson,D,CA-33,6/5/2001,
337,Randy Forbes,R,VA-04,6/19/2001,
338,Stephen Lynch,D,MA-09,10/16/2001,
339,Jeff Miller,R,FL-01,10/16/2001,
340,John Boozman,R,AR-3,11/20/2001,
341,Joe Wilson,R,SC-2,12/18/2001,
342,John Sullivan,R,OK-1,2/15/2002,
343,Ed Case,D,HI-2,11/30/2002,Left the House in 2007.
344,Jim Cooper,D,TN-5,1/3/2003,Also served from 1983 to 1995.
344,Rodney Alexander,R,LA-5,1/3/2003,
344,Gresham Barrett,R,SC-3,1/3/2003,
344,Bob Beauprez,R,CO-7,1/3/2003,Left the House in 2007.
344,Rob Bishop,R,UT-1,1/3/2003,
344,Tim Bishop,D,NY-01,1/3/2003,
344,Marsha Blackburn,R,TN-7,1/3/2003,
344,Jo Bonner,R,AL-1,1/3/2003,
344,Ginny Brown-Waite,R,FL-05,1/3/2003,
344,Jeb Bradley,R,NH-1,1/3/2003,Left the House in 2007.
344,Michael Burgess,R,TX-26,1/3/2003,
344,Dennis Cardoza,D,CA-18,1/3/2003,
344,John Carter,R,TX-31,1/3/2003,
344,Chris Chocola,R,IN-2,1/3/2003,Left the House in 2007.
344,Tom Cole,R,OK-4,1/3/2003,
344,Artur Davis,D,AL-7,1/3/2003,
344,Lincoln Davis,D,TN-4,1/3/2003,
344,Mario Diaz-Balart,R,FL-25,1/3/2003,
344,Rahm Emanuel,D,IL-05,1/3/2003,
344,Tom Feeney,R,FL-24,1/3/2003,
344,Trent Franks,R,AZ-2,1/3/2003,
344,Scott Garrett,R,NJ-05,1/3/2003,
344,Jim Gerlach,R,PA-06,1/3/2003,
344,Phil Gingrey,R,GA-11,1/3/2003,
344,Raúl Grijalva,D,AZ-7,1/3/2003,
344,Katherine Harris,R,FL-13,1/3/2003,Left the House in 2007.
344,Jeb Hensarling,R,TX-05,1/3/2003,
344,Steve King,R,IA-5,1/3/2003,
344,John Kline,R,MN-2,1/3/2003,
344,Jim Marshall,D,GA-03,1/3/2003,
344,Thaddeus McCotter,R,MI-11,1/3/2003,
344,Kendrick Meek,D,FL-17,1/3/2003,
344,Mike Michaud,D,ME-2,1/3/2003,
344,Brad Miller,D,NC-13,1/3/2003,
344,Candice Miller,R,MI-10,1/3/2003,
344,Tim Murphy,R,PA-18,1/3/2003,
344,Marilyn Musgrave,R,CO-4,1/3/2003,
344,Devin Nunes,R,CA-21,1/3/2003,
344,Steve Pearce,R,NM-2,1/3/2003,
344,Jon Porter,R,NV-3,1/3/2003,
344,Rick Renzi,R,AZ-1,1/3/2003,
344,Mike D. Rogers,R,AL-3,1/3/2003,
344,Dutch Ruppersberger,D,MD-2,1/3/2003,
344,Tim Ryan,D,OH-17,1/3/2003,
344,Linda Sánchez,D,CA-39,1/3/2003,
344,David Scott,D,GA-13,1/3/2003,
344,Michael Turner,R,OH-03,1/3/2003,
344,Chris Van Hollen,D,MD-8,1/3/2003,
392,Randy Neugebauer,R,TX-19,6/3/2003,
393,Ben Chandler,D,KY-6,2/17/2004,
394,Stephanie Herseth,D,SD,6/1/2004,
395,G. K. Butterfield,D,NC-01,7/20/2004,
396,Dan Lungren,R,CA-03,1/3/2005,Also served from 1979 to 1989.
396,Cynthia McKinney,D,GA-04,1/3/2005,Also served from 1993 to 2003. Retired in 2007.
396,Bob Inglis,R,SC-4,1/3/2005,Also served from 1993 to 1999.
396,John Barrow,D,GA-12,1/3/2005,
396,Melissa Bean,D,IL-08,1/3/2005,
396,Dan Boren,D,OK-2,1/3/2005,
396,Charles Boustany,R,LA-7,1/3/2005,
396,Russ Carnahan,D,MO-3,1/3/2005,
396,Emanuel Cleaver,D,MO-5,1/3/2005,
396,Mike Conaway,R,TX-11,1/3/2005,
396,Jim Costa,D,CA-20,1/3/2005,
396,Henry Cuellar,D,TX-28,1/3/2005,
396,Geoff Davis,R,KY-4,1/3/2005,
396,Charlie Dent,R,PA-15,1/3/2005,
396,Thelma Drake,R,VA-02,1/3/2005,
396,Mike Fitzpatrick,R,PA-08,1/3/2005,Left the House in 2007.
396,Jeff Fortenberry,R,NE-1,1/3/2005,
396,Virginia Foxx,R,NC-05,1/3/2005,
396,Louis Gohmert,R,TX-01,1/3/2005,
396,Al Green,D,TX-09,1/3/2005,
396,Brian Higgins,D,NY-27,1/3/2005,
396,Bobby Jindal,R,LA-1,1/3/2005,
396,Randy Kuhl,R,NY-29,1/3/2005,
396,Dan Lipinski,D,IL-03,1/3/2005,
396,Connie Mack IV,R,FL-14,1/3/2005,
396,Kenny Marchant,R,TX-24,1/3/2005,
396,Mike McCaul,R,TX-10,1/3/2005,
396,Patrick McHenry,R,NC-10,1/3/2005,
396,Cathy McMorris,R,WA-5,1/3/2005,
396,Charlie Melancon,D,LA-3,1/3/2005,
396,Gwen Moore,D,WI-4,1/3/2005,
396,Ted Poe,R,TX-02,1/3/2005,
396,Tom Price,R,GA-06,1/3/2005,
396,Dave Reichert,R,WA-8,1/3/2005,
396,John Salazar,D,CO-3,1/3/2005,
396,Allyson Schwartz,D,PA-13,1/3/2005,
396,Joe Schwarz,R,MI-07,1/3/2005,Left the House in 2007.
396,Mike Sodrel,R,IN-9,1/3/2005,Left the House in 2007.
396,Debbie Wasserman Schultz,D,FL-20,1/3/2005,
396,Lynn Westmoreland,R,GA-08,1/3/2005,
